date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2022-11-16,-0.004953145917001359,-2.562420896147893,466,1028,9028,-5.6960280373831775
2022-11-17,0.10201706749418149,-2.6051006567230846,381,908,6977,-5.5986187845303865
2022-11-18,-0.4080394922425952,-3.4765800377338865,506,912,7761,-5.523440860215053
2022-11-21,-0.5516198704103671,-2.973207423264841,163,300,2074,-6.730967741935483
2022-11-22,-0.04779179810725555,-2.70465962916261,406,862,6840,-6.218701298701299
2022-11-23,0.3052772808586762,-2.2792505644806162,299,819,6787,-5.994623655913978
2022-11-24,-0.2418835192069393,-3.0137472581774625,267,540,4211,-5.5992277992277995
2022-11-25,0.7348894348894349,-2.0336574678128687,111,296,2150,-5.668932038834951
2022-11-28,-0.215339233038348,-3.094692419416679,106,233,2034,-6.009090909090909
2022-11-29,0.40074738415545597,-2.814721607809919,359,979,7391,-5.904573170731707
2022-11-30,0.17837837837837836,-2.6719536030968207,349,835,6791,-5.831610942249241
2022-12-01,0.32341941228851284,-2.4010067738926337,304,819,7389,-5.52902097902098
2022-12-02,0.759403905447071,-2.6189936280912347,246,727,6141,-5.098706896551724
2022-12-05,-0.5121621621621623,-3.3669883929138473,137,233,2272,-6.17007874015748
2022-12-06,0.19414519906323185,-2.610589575254004,259,595,4357,-5.539748953974895
2022-12-07,0.06374896779521051,-3.121078243165951,381,830,6887,-5.277472527472527
2022-12-08,-0.11253731343283582,-3.034466126645883,565,1110,8934,-5.504595588235294
2022-12-09,0.17126546146527122,-2.4006945715035295,327,724,6198,-5.34
2022-12-12,0.12141230068337126,-3.2592534327177285,120,319,2290,-6.360909090909091
2022-12-13,-0.011120689655172492,-2.797274606452322,366,794,6454,-6.069627507163324
2022-12-14,0.2096348096348096,-2.408756456214511,392,895,6247,-5.751302083333333
2022-12-15,0.012528132033008255,-2.7793521924380045,420,913,7085,-6.054987212276215
2022-12-16,-0.17401998462720994,-3.2009254009769226,430,871,7790,-5.759047619047619
2022-12-19,-0.15749385749385747,-3.360537255746453,144,263,2944,-5.790070921985816
2022-12-20,0.953609239653513,-2.9381737849363407,232,807,6782,-4.919444444444444
2022-12-21,0.5417935702199662,-3.1208982419884443,321,861,7061,-6.22987012987013
2022-12-22,0.4303656597774246,-2.9089246835642397,342,916,7873,-6.000625
2022-12-23,0.3486985726280436,-2.7682933109739043,363,828,6514,-5.55
2022-12-26,-0.8371345029239766,-2.7748314089991526,133,209,1973,-6.536697247706422
2022-12-27,0.22366412213740455,-2.659267221391545,155,369,3523,-5.888235294117647
2022-12-28,0.011658653846153798,-3.607641447457193,281,551,5872,-5.143303571428572
2022-12-29,0.4897091722595078,-2.8834550603681914,244,650,4995,-5.124423963133641
2022-12-30,0.3986904761904761,-2.4383212051315777,222,618,4949,-5.748648648648649
2023-01-02,-0.1023706896551724,-2.875029184389728,136,328,2529,-6.728125
2023-01-03,-0.66112,-2.85391416642418,227,398,3083,-6.126027397260275
2023-01-04,0.12860096485182623,-3.0135261585249067,445,1006,7851,-5.72219570405728
2023-01-05,0.014769765421372769,-3.3553798921502307,355,796,7611,-6.025825825825826
2023-01-06,0.10887850467289718,-3.3289505302994318,399,885,7194,-5.7586387434554975
2023-01-09,0.35319865319865323,-3.6228079938046025,165,429,3144,-6.113071895424836
2023-01-10,0.37785760940561725,-2.711882771422736,429,1102,8094,-5.836895674300253
2023-01-11,0.0690159574468085,-2.579481663417348,428,1076,7464,-6.0165413533834595
2023-01-12,0.6297116029510397,-2.1504380543945225,353,1138,8350,-5.522222222222222
2023-01-13,0.24540412044374008,-2.1897215761128788,346,916,8252,-5.775737704918033
2023-01-16,0.06530172413793103,-2.2353584426338142,125,339,2394,-7.026890756302522
2023-01-17,-0.05420560747663555,-2.371970637745028,273,583,4831,-6.368482490272373
2023-01-18,0.11865049279757384,-2.4962818422179174,404,915,6944,-5.953050397877985
2023-01-19,0.4087771203155818,-2.7090410001496235,514,1514,10641,-5.8237394957983195
2023-01-20,0.13489932885906034,-2.5136620179018054,388,953,7785,-5.4
